"","lat","lon","elevation","distance_to_ocean"
"147",49.1003119210892,-121.627940556962,373,NA
"148",49.1004869807318,-122.643827676713,6,NA
"149",49.103028852225,-124.81695833637,5,NA
"150",49.1031845566572,-121.536584824447,470,NA
"151",49.1034907655923,-121.537289059646,468,NA
"152",49.1059489373152,-121.645953673462,338,NA
"153",49.1061383634659,-121.635958255844,352,NA
"154",49.1063050014333,-121.522394317896,489,NA
"155",49.1080282010713,-122.339213014343,5,NA
"156",49.1108651893738,-122.084797495453,3,NA
"157",49.1108812211481,-122.322299778345,4,NA
"158",49.1113069164442,-124.826451412021,0,NA
"159",49.1127562155285,-125.502196121658,13,NA
"160",49.1134869172197,-122.087254622554,3,NA
"161",49.1149026911365,-122.088581664149,3,NA
"162",49.1186995099111,-122.092157122746,3,NA
"163",49.1188764505402,-123.191010834017,0,NA
"164",49.1206862767904,-122.094051644586,3,NA
"165",49.1219014023614,-122.568787012309,23,NA
"166",49.1222120366945,-122.095534151235,3,NA
"167",49.1240456787568,-125.614759004006,12,NA
"168",49.1245820514875,-125.651344222426,4,NA
"169",49.1264133495752,-122.098353499816,4,NA
"170",49.127402790954,-125.434896133874,8,NA
"171",49.1289266969314,-125.435573766386,11,NA
"172",49.1306800723193,-123.914526287146,8,NA
"173",49.1307083563444,-125.620358396626,12,NA
"174",49.1332345340612,-122.358480731198,4,NA
"175",49.1343219754546,-122.181238068526,5,NA
"176",49.1356333280228,-125.137860956685,5,NA
"177",49.1363185160149,-123.919208710388,0,NA
"178",49.1365518880095,-125.667669504036,6,NA
"179",49.1372086555927,-123.880082490595,0,NA
"180",49.1383781928156,-123.895826664338,0,NA
"181",49.1414558466521,-122.182512266635,5,NA
"182",49.1415239773757,-122.123920036041,6,NA
"183",49.1492472680285,-125.858829825922,0,NA
"184",49.1499854589352,-121.974318287659,10,NA
"185",49.1528462639356,-125.656311382843,0,NA
"186",49.1529090322757,-124.790511522941,6,NA
"187",49.1535501667269,-122.72615657915,7,NA
"188",49.1571459327061,-125.863975122813,8,NA
"189",49.1577550372453,-121.992371792707,10,NA
"190",49.1607994472392,-122.24647492727,5,NA
"191",49.1629713316304,-122.531039604175,3,NA
"192",49.165570579141,-122.014044250366,9,NA
"193",49.1658845816703,-122.488425645045,7,NA
"194",49.1675396019845,-122.138279212336,8,NA
"195",49.1702319961929,-122.155017319802,8,NA
"196",49.1713073167375,-121.828039231123,11,NA
"197",49.1718035293881,-122.423760163127,5,NA
"198",49.172595976676,-123.943944228988,0,NA
"199",49.1731715695915,-122.135356213359,10,NA
"200",49.17340368124,-122.46047669252,3,NA
