"","species","region","FULL_CU_IN","cuid","start_spawn_025","start_spawn_10","start_spawn_mean","end_spawn_975","end_spawn_90","end_spawn_mean","n_years","n_loc","dq"
"196","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-03",929,254.736842105263,254.736842105263,254.736842105263,290.464285714286,290.464285714286,290.464285714286,14,1,1.5
"197","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-04",930,NA,NA,NA,NA,NA,NA,0,0,3
"198","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-05",931,244.3,244.3,244.3,311.277777777778,311.277777777778,311.277777777778,18,1,2
"199","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-06",932,215.409090909091,215.409090909091,215.409090909091,273.426470588235,273.426470588235,273.426470588235,33,1,1
"200","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-07",933,284.736842105263,284.736842105263,284.736842105263,345.222222222222,345.222222222222,345.222222222222,18,1,1
"201","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-09",935,197.8125,197.8125,197.8125,234.1875,234.1875,234.1875,16,1,1
"202","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-10",NA,251.764705882353,251.764705882353,251.764705882353,283.764705882353,283.764705882353,283.764705882353,17,1,1
"203","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-11",NA,259,259,259,299,299,299,1,1,3
"204","Sockeye","Vancouver Island & Mainland Inlets","SEL-11-12",NA,252.545454545455,252.545454545455,252.545454545455,282.3,282.3,282.3,10,1,2
"205","Sockeye","Vancouver Island & Mainland Inlets","SEL-12-01",937,264.285714285714,264.285714285714,264.285714285714,294.833333333333,294.833333333333,294.833333333333,6,1,2
"206","Sockeye","Vancouver Island & Mainland Inlets","SEL-12-02",938,257.9,257.9,257.9,300.666666666667,300.666666666667,300.666666666667,24,1,1
"207","Sockeye","Vancouver Island & Mainland Inlets","SEL-12-03",939,257.22,257.22,264.313333333333,315.557692307692,315.557692307692,313.538461538462,26,2,2
"208","Sockeye","Vancouver Island & Mainland Inlets","SEL-12-05",941,250.711538461538,250.711538461538,250.711538461538,289.134615384615,289.134615384615,289.134615384615,26,1,1
"209","Sockeye","Vancouver Island & Mainland Inlets","SEL-12-07",943,192.157894736842,192.157894736842,192.157894736842,248.263157894737,248.263157894737,248.263157894737,19,1,1
"210","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-01",945,245.772727272727,245.772727272727,245.772727272727,280.227272727273,280.227272727273,280.227272727273,11,1,1
"211","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-03",947,211.75,211.75,211.75,268,268,268,3,1,2
"212","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-04",948,269.882352941176,269.882352941176,269.882352941176,294.9375,294.9375,294.9375,16,1,1
"213","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-05",949,299.948717948718,299.948717948718,299.948717948718,327.842105263158,327.842105263158,327.842105263158,38,1,1
"214","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-06",950,204.555555555556,204.555555555556,204.555555555556,278.15,278.15,278.15,9,1,1
"215","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-07",951,273.888888888889,273.888888888889,276.604166666667,305.78947368421,305.78947368421,301.073684210526,22,2,1
"216","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-09",953,260.791666666667,260.791666666667,260.791666666667,312.083333333333,312.083333333333,312.083333333333,36,1,1
"217","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-10",954,278.4,278.4,278.4,318.625,318.625,318.625,8,1,1.5
"218","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-11",955,257.736842105263,257.736842105263,257.736842105263,303.526315789474,303.526315789474,303.526315789474,19,1,1
"219","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-12",956,188.64,188.64,188.64,246.095238095238,246.095238095238,246.095238095238,21,1,1
"220","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-13",957,105,105,105,196,196,196,1,1,3
"221","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-14",958,250.345238095238,250.345238095238,284.719097744361,334,334,316.46134163939,87,6,1
"222","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-15",959,258.5,258.5,258.5,278.5,278.5,278.5,1,1,3
"223","Sockeye","Vancouver Island & Mainland Inlets","SEL-13-16",960,220.25641025641,220.25641025641,220.25641025641,305.921052631579,305.921052631579,305.921052631579,38,1,1
